source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[developmental stage]	characteristics[age]	characteristics[sex]	characteristics[strain or breed]	characteristics[individual]	characteristics[material type]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	comment[sdrf template]	comment[sdrf template]	factor value[organism part]
jejunum_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=jejunum;AC=UBERON:0002115	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	2	run_11	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_017.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=jejunum;AC=UBERON:0002115
jejunum_H4W	NT=Equus caballus;AC=NCBITaxon:9796	NT=jejunum;AC=UBERON:0002115	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4W	tissue	3	run_12	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_031.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=jejunum;AC=UBERON:0002115
colon_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=colon;AC=UBERON:0001155	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	1	run_13	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_009.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=colon;AC=UBERON:0001155
colon_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=colon;AC=UBERON:0001155	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	2	run_14	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_019.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=colon;AC=UBERON:0001155
colon_H4W	NT=Equus caballus;AC=NCBITaxon:9796	NT=colon;AC=UBERON:0001155	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4W	tissue	3	run_15	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_032.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=colon;AC=UBERON:0001155
kidney_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	1	run_16	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_010.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
kidney_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	2	run_17	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_020.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
kidney_H4W	NT=Equus caballus;AC=NCBITaxon:9796	NT=kidney;AC=UBERON:0002113	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4W	tissue	3	run_18	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_033.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=kidney;AC=UBERON:0002113
spleen_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=spleen;AC=UBERON:0002106	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	1	run_19	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_011.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
spleen_H3OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=spleen;AC=UBERON:0002106	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H3OA	tissue	2	run_20	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_123.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
spleen_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=spleen;AC=UBERON:0002106	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	3	run_21	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_021.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
spleen_H4OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=spleen;AC=UBERON:0002106	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H4OA	tissue	4	run_22	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_124.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
spleen_H4W	NT=Equus caballus;AC=NCBITaxon:9796	NT=spleen;AC=UBERON:0002106	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4W	tissue	5	run_23	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_034.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
spleen_H5OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=spleen;AC=UBERON:0002106	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H5OA	tissue	6	run_24	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_125.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=spleen;AC=UBERON:0002106
lung_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=lung;AC=UBERON:0002048	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	1	run_25	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_012.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=lung;AC=UBERON:0002048
lung_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=lung;AC=UBERON:0002048	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	2	run_26	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_022.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=lung;AC=UBERON:0002048
lung_H4W	NT=Equus caballus;AC=NCBITaxon:9796	NT=lung;AC=UBERON:0002048	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4W	tissue	3	run_27	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_036.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=lung;AC=UBERON:0002048
adipose_tissue_H2W	NT=Equus caballus;AC=NCBITaxon:9796	NT=adipose tissue;AC=UBERON:0001013	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H2W	tissue	1	run_28	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_126.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=adipose tissue;AC=UBERON:0001013
adipose_tissue_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=adipose tissue;AC=UBERON:0001013	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	2	run_29	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_127.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=adipose tissue;AC=UBERON:0001013
adipose_tissue_H4W	NT=Equus caballus;AC=NCBITaxon:9796	NT=adipose tissue;AC=UBERON:0001013	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4W	tissue	3	run_30	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_128.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=adipose tissue;AC=UBERON:0001013
lymph_node_H3OA	NT=Equus caballus;AC=NCBITaxon:9796	NT=lymph node;AC=UBERON:0000029	not applicable	NT=osteoarthritis;AC=MONDO:0005178	NT=adult;AC=EFO:0001272	not available	not available	not available	H3OA	tissue	1	run_31	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_119.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=lymph node;AC=UBERON:0000029
lymph_node_H3W	NT=Equus caballus;AC=NCBITaxon:9796	NT=lymph node;AC=UBERON:0000029	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H3W	tissue	2	run_32	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_026.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=lymph node;AC=UBERON:0000029
lymph_node_H4W	NT=Equus caballus;AC=NCBITaxon:9796	NT=lymph node;AC=UBERON:0000029	not applicable	normal	NT=adult;AC=EFO:0001272	not available	not available	not available	H4W	tissue	3	run_33	proteomic profiling by mass spectrometry	NT=Data-independent acquisition;AC=PRIDE:0000450	NT=Q Exactive HF-X;AC=MS:1002877	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=beam-type collision-induced dissociation;AC=MS:1000422	not available	not available	1	1	Emma_M1810_037.raw	v1.1.0	manual curation	NT=ms-proteomics;VV=v1.1.0	NT=vertebrates;VV=v1.1.0	NT=lymph node;AC=UBERON:0000029
